Data,IGPM,IPCA,SELIC
01/2007,0.50 ,0.44 ,1.08
02/2007,0.27 ,0.44 ,0.87
03/2007,0.34 ,0.37 ,1.05
04/2007,0.04 ,0.25 ,0.94
05/2007,0.04 ,0.28 ,1.03
06/2007,0.26 ,0.28 ,0.91
07/2007,0.28 ,0.24 ,0.97
08/2007,0.98 ,0.47 ,0.99
09/2007,1.29 ,0.18 ,0.80
10/2007,1.05 ,0.30 ,0.93
11/2007,0.69 ,0.38 ,0.84
12/2007,1.76 ,0.74 ,0.84
01/2008,1.09 ,0.54 ,0.93
02/2008,0.53 ,0.49 ,0.80
03/2008,0.74 ,0.48 ,0.84
04/2008,0.69 ,0.55 ,0.90
05/2008,1.61 ,0.79 ,0.88
06/2008,1.98 ,0.74 ,0.96
07/2008,1.76 ,0.53 ,1.07
08/2008,-0.32 ,0.28 ,1.02
09/2008,0.11 ,0.26 ,1.10
10/2008,0.98 ,0.45 ,1.18
11/2008,0.38 ,0.36 ,1.02
12/2008,-0.13 ,0.28 ,1.12
01/2009,-0.44 ,0.48 ,1.05
02/2009,0.26 ,0.55 ,0.86
03/2009,-0.74 ,0.20 ,0.97
04/2009,-0.15 ,0.48 ,0.84
05/2009,-0.07 ,0.47 ,0.77
06/2009,-0.10 ,0.36 ,0.76
07/2009,-0.43 ,0.24 ,0.79
08/2009,-0.36 ,0.15 ,0.69
09/2009,0.42 ,0.24 ,0.69
10/2009,0.05 ,0.28 ,0.69
11/2009,0.10 ,0.41 ,0.66
12/2009,-0.26 ,0.37 ,0.73
01/2010,0.63 ,0.75 ,0.66
02/2010,1.18 ,0.78 ,0.59
03/2010,0.94 ,0.52 ,0.76
04/2010,0.77 ,0.57 ,0.67
05/2010,1.19 ,0.43 ,0.75
06/2010,0.85 ,0.00 ,0.79
07/2010,0.15 ,0.01 ,0.86
08/2010,0.77 ,0.04 ,0.89
09/2010,1.15 ,0.45 ,0.85
10/2010,1.01 ,0.75 ,0.81
11/2010,1.45 ,0.83 ,0.81
12/2010,0.69 ,0.63 ,0.93
01/2011,0.79 ,0.83 ,0.86
02/2011,1.00 ,0.80 ,0.84
03/2011,0.62 ,0.79 ,0.92
04/2011,0.45 ,0.77 ,0.84
05/2011,0.43 ,0.47 ,0.99
06/2011,-0.18 ,0.15 ,0.96
07/2011,-0.12 ,0.16 ,0.97
08/2011,0.44 ,0.37 ,1.07
09/2011,0.65 ,0.53 ,0.94
10/2011,0.53 ,0.43 ,0.88
11/2011,0.50 ,0.52 ,0.86
12/2011,-0.12 ,0.50 ,0.91
01/2012,0.25 ,0.56 ,0.89
02/2012,-0.06 ,0.45 ,0.75
03/2012,0.43 ,0.21 ,0.82
04/2012,0.85 ,0.64 ,0.71
05/2012,1.02 ,0.36 ,0.74
06/2012,0.66 ,0.08 ,0.64
07/2012,1.34 ,0.43 ,0.68
08/2012,1.43 ,0.41 ,0.69
09/2012,0.97 ,0.57 ,0.54
10/2012,0.02 ,0.59 ,0.61
11/2012,-0.03 ,0.60 ,0.55
12/2012,0.68 ,0.79 ,0.55
01/2013,0.34 ,0.86 ,0.60
02/2013,0.29 ,0.60 ,0.49
03/2013,0.21 ,0.47 ,0.55
04/2013,0.15 ,0.55 ,0.61
05/2013,0.00 ,0.37 ,0.60
06/2013,0.75 ,0.26 ,0.61
07/2013,0.26 ,0.03 ,0.72
08/2013,0.15 ,0.24 ,0.71
09/2013,1.50 ,0.35 ,0.71
10/2013,0.86 ,0.57 ,0.81
11/2013,0.29 ,0.54 ,0.72
12/2013,0.60 ,0.92 ,0.79
01/2014,0.48 ,0.55 ,0.85
02/2014,0.38 ,0.69 ,0.79
03/2014,1.67 ,0.92 ,0.77
04/2014,0.78 ,0.67 ,0.82
05/2014,-0.13 ,0.46 ,0.87
06/2014,-0.74 ,0.40 ,0.82
07/2014,-0.61 ,0.01 ,0.95
08/2014,-0.27 ,0.25 ,0.87
09/2014,0.20 ,0.57 ,0.91
10/2014,0.28 ,0.42 ,0.95
11/2014,0.98 ,0.51 ,0.84
12/2014,0.62 ,0.78 ,0.96
01/2015,0.76 ,1.24 ,0.94
02/2015,0.27 ,1.22 ,0.82
03/2015,0.98 ,1.32 ,1.04
04/2015,1.17 ,0.71 ,0.95
05/2015,0.41 ,0.74 ,0.99
06/2015,0.67 ,0.79 ,1.07
07/2015,0.69 ,0.62 ,1.18
08/2015,0.28 ,0.22 ,1.11
09/2015,0.95 ,0.54 ,1.11
10/2015,1.89 ,0.82 ,1.11
11/2015,1.52 ,1.01 ,1.06
12/2015,0.49 ,0.96 ,1.16
01/2016,1.14 ,1.27 ,1.06
02/2016,1.29 ,0.90 ,1.00
03/2016,0.51 ,0.43 ,1.16
04/2016,0.33 ,0.61 ,1.06
05/2016,0.82 ,0.78 ,1.11
06/2016,1.69 ,0.35 ,1.16
07/2016,0.18 ,0.52 ,1.11
08/2016,0.15 ,0.44 ,1.22
09/2016,0.20 ,0.08 ,1.11
10/2016,0.16 ,0.26 ,1.05
11/2016,-0.03 ,0.18 ,1.04
12/2016,0.54 ,0.30 ,1.12
01/2017,0.64 ,0.38 ,1.09
